Date,Goldman Sachs (GS),S5INBK Index,S&P,Lockheed Martin (LMT),S5AERO Index,Chevron (CVR),S5OILG Index
2014-09-08,180.11,109.84,2001.54,174.77,666.78,126.21,700.99
2014-09-09,177.40,108.01,1988.44,174.94,666.70,125.18,697.64
2014-09-10,179.87,109.69,1995.69,174.59,668.49,124.28,694.25
2014-09-11,181.00,110.32,1997.45,174.20,667.73,123.83,694.05
2014-09-12,183.17,111.49,1985.54,174.43,665.79,122.66,684.77
2014-09-15,183.98,111.67,1984.13,175.60,667.08,124.24,690.20
2014-09-16,184.04,111.78,1998.98,177.19,670.43,124.96,698.05
2014-09-17,184.82,113.14,2001.57,178.80,672.63,124.72,696.19
2014-09-18,187.89,115.04,2011.36,179.57,676.41,124.14,691.56
2014-09-19,186.20,113.82,2010.40,180.74,678.49,124.80,692.82
2014-09-22,185.29,112.81,1994.29,178.99,669.91,123.49,684.24
2014-09-23,185.09,112.34,1982.77,176.34,661.01,123.06,681.25
2014-09-24,187.81,113.11,1998.30,178.39,665.64,122.40,681.61
2014-09-25,184.09,110.86,1965.99,177.44,657.53,120.68,670.95
2014-09-26,185.12,111.91,1982.85,181.58,667.00,121.47,678.63
2014-09-29,183.83,111.23,1977.80,181.36,666.19,120.55,675.80
2014-09-30,183.57,110.95,1972.29,182.78,665.79,119.32,668.31
2014-10-01,180.70,109.00,1946.16,177.89,651.48,117.65,657.28
2014-10-02,182.88,110.13,1946.17,176.35,646.08,117.11,656.04
2014-10-03,188.07,112.82,1967.90,178.34,654.50,117.71,656.76
2014-10-06,187.48,112.63,1964.82,176.92,652.27,118.09,657.18
2014-10-07,183.80,109.57,1935.10,173.02,636.57,116.02,647.09
2014-10-08,186.64,110.97,1968.89,176.35,646.48,117.95,654.96
2014-10-09,181.27,106.92,1928.21,174.55,633.73,114.51,631.35
2014-10-10,180.38,105.48,1906.13,174.47,631.21,113.89,625.82
2014-10-13,178.77,104.07,1874.74,172.88,620.96,112.03,608.98
2014-10-14,178.70,104.31,1877.70,176.11,629.58,109.78,601.59
2014-10-15,177.24,103.58,1862.49,175.19,623.03,109.27,602.99
2014-10-16,172.58,102.47,1862.76,174.72,624.39,111.06,613.70
2014-10-17,176.91,104.64,1886.76,176.24,640.50,111.80,618.23
2014-10-20,177.84,104.96,1904.01,175.53,640.91,111.49,622.93
2014-10-21,180.18,107.02,1941.28,172.61,650.43,115.09,640.22
2014-10-22,176.83,105.07,1927.11,176.01,642.48,114.00,630.57
2014-10-23,180.06,106.92,1950.82,180.67,654.45,116.19,640.25
2014-10-24,183.35,108.33,1964.58,181.33,658.40,115.91,639.17
2014-10-27,183.91,107.89,1961.63,183.00,659.04,115.02,629.34
2014-10-28,186.32,109.52,1985.05,185.55,670.47,117.13,642.75
2014-10-29,186.08,109.97,1982.30,186.43,670.30,117.14,643.04
2014-10-30,186.97,110.41,1994.65,189.29,675.88,117.20,641.27
2014-10-31,189.99,112.47,2018.05,190.57,680.52,119.95,654.99
2014-11-03,190.83,112.31,2017.81,190.75,680.45,116.78,644.32
2014-11-04,190.27,112.20,2012.10,190.79,682.42,115.37,633.84
2014-11-05,189.84,112.53,2023.57,189.73,683.28,117.05,643.41
2014-11-06,191.00,113.49,2031.21,189.88,685.18,118.53,651.83
2014-11-07,190.71,113.31,2031.92,186.15,682.91,118.80,657.07
2014-11-10,191.80,114.20,2038.26,186.99,683.60,117.92,651.46
2014-11-11,191.88,114.12,2039.68,187.12,683.37,118.44,653.72
2014-11-12,190.18,113.73,2038.25,186.87,683.33,117.65,647.65
2014-11-13,190.24,113.69,2039.33,187.97,687.66,116.45,638.05
2014-11-14,189.98,113.53,2039.82,186.60,686.15,116.32,643.50
