Goldman Sachs (GS),S5INBK Index,S&P,S5AERO Index,Lockheed Martin (LMT),S5OILG Index,Chevron (CVR)
-0.015128552,-0.016756627,-0.006627202,-0.000200072,0.000890515,-0.004861115,-0.008243193
0.013841145,0.01551305,0.003563883,0.002601014,-0.002082878,-0.004954299,-0.007271839
0.006200123,0.005671206,0.000799759,-0.001220875,-0.002315997,-0.000366673,-0.003703048
0.011906758,0.010522144,-0.006044794,-0.002983663,0.00123813,-0.013455903,-0.009530629
0.00433993,0.001534954,-0.000792326,0.001853245,0.00662537,0.007850881,0.012798943
0.000243931,0.000851785,0.007402197,0.004931438,0.008972478,0.011286712,0.005713043
0.004156017,0.012133169,0.001213419,0.003199155,0.0090041,-0.002742907,-0.002002806
0.016528565,0.016686897,0.004809019,0.005543669,0.004224296,-0.006729821,-0.004732609
-0.009076816,-0.010677637,-0.000559481,0.002992275,0.006433373,0.001740788,0.005234386
-0.00496941,-0.00896543,-0.008095522,-0.012727338,-0.009764609,-0.012467359,-0.010578987
-0.001161581,-0.004252035,-0.005858684,-0.013361737,-0.014887488,-0.004452734,-0.003564255
0.014613362,0.006736419,0.007750285,0.006912669,0.011543078,0.000445515,-0.005445429
-0.019889444,-0.019944161,-0.016250935,-0.012257285,-0.005407602,-0.015727378,-0.014134479
0.005512898,0.00937576,0.00849364,0.01430856,0.023249639,0.011369267,0.006464046
-0.007050645,-0.00617025,-0.002629031,-0.001297642,-0.001293779,-0.00424559,-0.007656078
-0.001496542,-0.002542042,-0.002868116,-0.000670467,0.007747539,-0.011177141,-0.010285427
-0.015716555,-0.017659952,-0.013330751,-0.021586467,-0.026835666,-0.016583639,-0.014078169
0.011982003,0.010290974,-7.70535E-05,-0.008360166,-0.008739227,-0.001961308,-0.004672077
0.028297073,0.024318284,0.011083328,0.012953132,0.011202186,0.00100844,0.005041196
-0.003219322,-0.00175033,-0.001647363,-0.003492556,-0.008044511,0.000557162,0.003146081
-0.019710952,-0.027299986,-0.015208209,-0.024152033,-0.022126053,-0.015429953,-0.017611195
0.015369386,0.012726456,0.017379438,0.015481469,0.019164138,0.012078229,0.016552871
-0.028854159,-0.036596565,-0.02074358,-0.0197968,-0.010289167,-0.036134622,-0.029247092
-0.004991995,-0.013529881,-0.011533227,-0.004061932,-0.000540513,-0.008830787,-0.005496566
-0.009007793,-0.013488499,-0.016550114,-0.01632505,-0.009195506,-0.02698929,-0.01641374
-0.000473756,0.002306675,0.001496694,0.013802597,0.018601288,-0.012231103,-0.020166098
-0.008252309,-0.007167483,-0.008182527,-0.010485761,-0.0053062,0.00224981,-0.004727847
-0.026374225,-0.010740107,6.27754E-05,0.002102768,-0.002764993,0.017680487,0.016299249
0.025007622,0.021073893,0.012801916,0.025715326,0.008617442,0.007303342,0.006580873
0.005174719,0.002979747,0.009060465,0.000556058,-0.004110789,0.007516571,-0.002855
0.013075703,0.019518609,0.019492285,0.014765135,-0.016717525,0.027670044,0.0322077
-0.01867471,-0.018290463,-0.007381499,-0.012293423,0.019615392,-0.015150348,-0.009553041
0.01818394,0.01750059,0.012221154,0.018537125,0.026393577,0.015264697,0.019128335
0.018189495,0.013142196,0.006971304,0.005959713,0.003570877,-0.00176607,-0.002492038
0.002972076,-0.004130009,-0.001583785,0.000886672,0.009127536,-0.015456662,-0.007760563
0.013022044,0.015052457,0.011856859,0.01727159,0.013852234,0.021224946,0.018262444
-0.001370298,0.003970786,-0.001467547,-0.000340665,0.004660465,0.000369148,3.18344E-06
0.004700697,0.003948061,0.006147945,0.008235559,0.015258687,-0.002840796,0.000430016
0.016070132,0.018562605,0.01164919,0.006782373,0.006679919,0.021318039,0.023381972
0.004339094,-0.00152702,-0.000201069,-0.000174915,0.000862343,-0.016383304,-0.02650987
-0.003016741,-0.001070549,-0.002912042,0.002814113,0.000127507,-0.016341475,-0.012156177
-0.002342138,0.002913443,0.00561827,0.001178608,-0.005638039,0.015012811,0.014479653
0.006028217,0.008393567,0.003693363,0.002685323,0.000708405,0.013014967,0.012561977
-0.001600516,-0.001645373,0.000267354,-0.003381784,-0.019726177,0.007949,0.002195713
0.005633292,0.007780372,0.00303801,0.000921301,0.004430298,-0.008617832,-0.007489599
0.000334909,-0.000799355,0.00061453,-0.000412063,0.000613033,0.003390777,0.004327578
-0.008941896,-0.003442745,-0.000783331,-0.00014409,-0.001418233,-0.009373902,-0.006752236
0.000233299,-0.000474333,0.000447675,0.006251185,0.005804253,-0.014902427,-0.010281937
-0.001448886,-0.001489528,0.000158034,-0.002277899,-0.007370589,0.008459459,-0.001198551
